mol_id,unique_key,energy
4729,4729__90,1.3661442
4729,4729__105,1.1316786
4729,4729__120,1.3094565
4729,4729__135,2.7469249
4729,4729__150,4.5019794
4729,4729__165,5.837661
4729,4729__180,6.073815
4729,4729__-180,6.073815
2818,2818__-165,0.12997842
2818,2818__-150,0.26909077
2818,2818__-135,0.617316
2818,2818__-120,1.3232365
2818,2818__-105,1.9839017
2818,2818__-90,2.2786257
2818,2818__-75,2.0721416
2818,2818__-60,1.452249
2818,2818__-45,0.7076324
2818,2818__-30,0.27944863
2818,2818__-15,0.04604745
2818,2818__0,0.0
2818,2818__15,0.025556087
2818,2818__30,0.21704865
2818,2818__45,0.6521417
2818,2818__60,1.4302742
2818,2818__75,2.079833
2818,2818__90,2.304241
2818,2818__105,2.0496426
2818,2818__120,1.3821545
2818,2818__135,0.65030956
2818,2818__150,0.2525034
2818,2818__165,0.105614424
2818,2818__180,0.09595001
2818,2818__-180,0.09595001
4455,4455__180,5.5600653
4455,4455__-180,5.5600653
4455,4455__-165,4.758975
4455,4455__-150,2.5963645
4455,4455__-135,0.42031884
4455,4455__-120,0.38341475
4455,4455__-105,0.7957251
4455,4455__-90,1.0561998
4455,4455__-75,0.86898804
4455,4455__-60,0.31289136
4455,4455__-45,0.0
4455,4455__-30,1.1141509
4455,4455__-15,2.293371
4455,4455__0,2.7472215
4455,4455__15,2.321568
4455,4455__30,1.1391344
4455,4455__45,0.049303055
4455,4455__60,0.313442
4455,4455__75,0.74945235
4455,4455__90,0.91629124
4455,4455__105,0.6771302
4455,4455__120,0.3231554
4455,4455__135,0.4507475
4455,4455__150,2.6949883
4455,4455__165,4.760149
455,455__180,3.0422788
455,455__-180,3.0422788
455,455__-165,2.7085328
455,455__-150,1.7838345
455,455__-135,1.0241481
455,455__-120,1.3582293
455,455__-105,1.902478
455,455__-90,2.1891668
455,455__-75,1.888551
455,455__-60,1.1457157
455,455__-45,0.41468382
455,455__-30,0.06363416
455,455__-15,0.011310339
455,455__0,0.005124569
455,455__15,0.0
455,455__30,0.08395028
455,455__45,0.45762372
455,455__60,1.2171005
455,455__75,1.9411571
